Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
1F4352      D2    No     001F3E93-001F3F69       D7
1F442A     14A    No     001F3F6A-001F40B8      14F
1F4580    25AC    No     001F40B9-001F6669     25B1
1F6B38      18    No     001F666A-001F6686       1D
1F6B58       9    No     001F6687-001F6694        E
1F6B61       B    Yes    001F6695-001F669C        8
1F6B7C      14    No     001F669D-001F66B5       19
1F6B9C      10    No     001F66B6-001F66CA       15
1F6BC0      10    No     001F66CB-001F66DF       15
1F6BE0       C    No     001F66E0-001F66F0       11
1F6C00      10    No     001F66F1-001F6705       15
1F6C20       D    No     001F6706-001F6717       12
1F6C38      18    No     001F6718-001F6734       1D
1F6C58       9    No     001F6735-001F6742        E
1F6C61       B    Yes    001F6743-001F674A        8
1F6C7C      14    No     001F674B-001F6763       19
1F6C9C      10    No     001F6764-001F6778       15
1F6CC0      10    No     001F6779-001F678D       15
1F6CE0       9    No     001F678E-001F679B        E
1F6D00      10    No     001F679C-001F67B0       15
1F6D20       D    No     001F67B1-001F67C2       12
1F6D40      2C    Yes    001F67C3-001F67CA        8
1F6D72       1    No     001F67CB-001F67D0        6
1F6D80      2C    Yes    001F67D1-001F67D8        8
1F6DB1       6    No     001F67D9-001F67E3        B
1F6DC0      2C    Yes    001F67E4-001F67EB        8
1F6DF1       A    No     001F67EC-001F67FA        F
1F6E00      6C    Yes    001F67FB-001F6802        8
1F6E72       1    No     001F6803-001F6808        6
1F6E80      2C    Yes    001F6809-001F6810        8
1F6EB1       6    No     001F6811-001F681B        B
1F6EF1       A    No     001F681C-001F682A        F
1F6F3C      14    No     001F682B-001F6843       19
1F6F5C       9    No     001F6844-001F6851        E
1F6F72       1    No     001F6852-001F6857        6
1F6FBC      14    No     001F6858-001F6870       19
1F6FDC       9    No     001F6871-001F687E        E
1F6FF2       1    No     001F687F-001F6884        6
1F7031      4F    No     001F6885-001F68D8       54
1F7088       6    No     001F68D9-001F68E3        B
1F7099      4B    No     001F68E4-001F6933       50
1F70F4      10    No     001F6934-001F6948       15
1F7104      10    Yes    001F6949-001F6950        8
1F7114      14    No     001F6951-001F6969       19
1F7131      13    No     001F696A-001F6981       18
1F7144      10    Yes    001F6982-001F6989        8
1F7154      14    No     001F698A-001F69A2       19
1F7171      13    No     001F69A3-001F69BA       18
1F7184      10    Yes    001F69BB-001F69C2        8
1F7194      14    No     001F69C3-001F69DB       19
1F71B1      13    No     001F69DC-001F69F3       18
1F71C4      10    Yes    001F69F4-001F69FB        8
1F71D4      14    No     001F69FC-001F6A14       19
1F71F1      13    No     001F6A15-001F6A2C       18
1F7204       C    Yes    001F6A2D-001F6A34        8
1F7215       F    No     001F6A35-001F6A48       14
